test_id;category;value;status
test_1;Type;MRB_RIGHT_OFFSET;pass
test_1;Type;MRB_RIGHT_PARALLEL;pass
test_1;Type;MRB_RIGHT_ADAPTIVE;pass
test_1;Tolerance;0.01;pass
test_1;Tolerance;0.5;pass
test_1;DepthStep;1;pass
test_1;DepthStep;1.2;pass
test_1;DepthStep;1.5;pass
test_2;Type;MRB_RIGHT_OFFSET;pass
test_2;Type;MRB_RIGHT_PARALLEL;pass
test_2;Tolerance;0.01;pass
test_2;Tolerance;0.5;pass
test_2;DepthStep;1;pass
test_2;DepthStep;1.2;pass
test_2;DepthStep;1.5;pass
test_3;Type;MRB_RIGHT_OFFSET;fail
test_3;Type;MRB_RIGHT_PARALLEL;fail
test_3;Tolerance;0.1;fail
test_3;Tolerance;0.5;fail
test_3;DepthStep;1;fail
test_3;DepthStep;1.2;fail
test_3;DepthStep;1.5;fail
